misra1,misra2,poet
حقیقی اور مجازی شاعری میں فرق یہ پایا ,کہ وہ جامے سے باہر ہے یہ پاجامے سے باہر ہے ,Akbar Allah Abadi
جو وقت ختنہ میں چیخا تو نائی نے کہا ہنس کر ,مسلمانی میں طاقت خون ہی بہنے سے آتی ہے ,Akbar Allah Abadi
محبت کا تم سے اثر کیا کہوں ,نظر مل گئی دل دھڑکنے لگا ,Akbar Allah Abadi
اس قدر تھا کھٹملوں کا چارپائی میں ہجوم ,وصل کا دل سے مرے ارمان رخصت ہو گیا ,Akbar Allah Abadi
بتاؤں آپ کو مرنے کے بعد کیا ہوگا ,پلاؤ کھائیں گے احباب فاتحہ ہوگا ,Akbar Allah Abadi
تیار تھے نماز پہ ہم سن کے ذکر حور ,جلوہ بتوں کا دیکھ کے نیت بدل گئی ,Akbar Allah Abadi
مے بھی ہوٹل میں پیو چندہ بھی دو مسجد میں ,شیخ بھی خوش رہیں شیطان بھی بے زار نہ ہو ,Akbar Allah Abadi
دھمکا کے بوسے لوں گا رخ رشک ماہ کا ,چندا وصول ہوتا ہے صاحب دباؤ سے ,Akbar Allah Abadi
کوٹ اور پتلون جب پہنا تو مسٹر بن گیا ,جب کوئی تقریر کی جلسے میں لیڈر بن گیا ,Akbar Allah Abadi
رقیبوں نے رپٹ لکھوائی ہے جا جا کے تھانے میں ,کہ اکبرؔ نام لیتا ہے خدا کا اس زمانے میں ,Akbar Allah Abadi
قوم کے غم میں ڈنر کھاتے ہیں حکام کے ساتھ ,رنج لیڈر کو بہت ہے مگر آرام کے ساتھ ,Akbar Allah Abadi
بوڑھوں کے ساتھ لوگ کہاں تک وفا کریں ,بوڑھوں کو بھی جو موت نہ آئے تو کیا کریں ,Akbar Allah Abadi
عشوہ بھی ہے شوخی بھی تبسم بھی حیا بھی ,ظالم میں اور اک بات ہے اس سب کے سوا بھی ,Akbar Allah Abadi
لیڈروں کی دھوم ہے اور فالوور کوئی نہیں ,سب تو جنرل ہیں یہاں آخر سپاہی کون ہے ,Akbar Allah Abadi
جب غم ہوا چڑھا لیں دو بوتلیں اکٹھی ,ملا کی دوڑ مسجد اکبرؔ کی دوڑ بھٹی ,Akbar Allah Abadi
ناز کیا اس پہ جو بدلا ہے زمانے نے تمہیں ,مرد ہیں وہ جو زمانے کو بدل دیتے ہیں ,Akbar Allah Abadi
سو جان سے ہو جاؤں گا راضی میں سزا پر ,پہلے وہ مجھے اپنا گنہ گار تو کر لے ,Akbar Allah Abadi
سینے سے لگائیں تمہیں ارمان یہی ہے ,جینے کا مزا ہے تو مری جان یہی ہے ,Akbar Allah Abadi
یہ دلبری یہ ناز یہ انداز یہ جمال ,انساں کرے اگر نہ تری چاہ کیا کرے ,Akbar Allah Abadi
دل وہ ہے کہ فریاد سے لبریز ہے ہر وقت ,ہم وہ ہیں کہ کچھ منہ سے نکلنے نہیں دیتے ,Akbar Allah Abadi
شیخ اپنی رگ کو کیا کریں ریشے کو کیا کریں ,مذہب کے جھگڑے چھوڑیں تو پیشے کو کیا کریں ,Akbar Allah Abadi
عقل میں جو گھر گیا لا انتہا کیوں کر ہوا ,جو سما میں آ گیا پھر وہ خدا کیوں کر ہوا ,Akbar Allah Abadi
لگاوٹ کی ادا سے ان کا کہنا پان حاضر ہے ,قیامت ہے ستم ہے دل فدا ہے جان حاضر ہے ,Akbar Allah Abadi
لوگ کہتے ہیں کہ بد نامی سے بچنا چاہیئے ,کہہ دو بے اس کے جوانی کا مزا ملتا نہیں ,Akbar Allah Abadi
اب تو ہے عشق بتاں میں زندگانی کا مزہ ,جب خدا کا سامنا ہوگا تو دیکھا جائے گا ,Akbar Allah Abadi
عاشقی کا ہو برا اس نے بگاڑے سارے کام ,ہم تو اے.بی میں رہے اغیار بے.اے. ہو گئے ,Akbar Allah Abadi
ہوئے اس قدر مہذب کبھی گھر کا منہ نہ دیکھا ,کٹی عمر ہوٹلوں میں مرے اسپتال جا کر ,Akbar Allah Abadi
جس طرف اٹھ گئی ہیں آہیں ہیں ,چشم بد دور کیا نگاہیں ہیں ,Akbar Allah Abadi
جوانی کی دعا لڑکوں کو نا حق لوگ دیتے ہیں ,یہی لڑکے مٹاتے ہیں جوانی کو جواں ہو کر ,Akbar Allah Abadi
تعلق عاشق و معشوق کا تو لطف رکھتا تھا ,مزے اب وہ کہاں باقی رہے بیوی میاں ہو کر ,Akbar Allah Abadi
میرے حواس عشق میں کیا کم ہیں منتشر ,مجنوں کا نام ہو گیا قسمت کی بات ہے ,Akbar Allah Abadi
کچھ الہ آباد میں ساماں نہیں بہبود کے ,یاں دھرا کیا ہے بجز اکبر کے اور امرود کے ,Akbar Allah Abadi
یہاں کی عورتوں کو علم کی پروا نہیں بے شک ,مگر یہ شوہروں سے اپنے بے پروا نہیں ہوتیں ,Akbar Allah Abadi
ہر ذرہ چمکتا ہے انوار الٰہی سے ,ہر سانس یہ کہتی ہے ہم ہیں تو خدا بھی ہے ,Akbar Allah Abadi
بولے کہ تجھ کو دین کی اصلاح فرض ہے ,میں چل دیا یہ کہہ کے کہ آداب عرض ہے ,Akbar Allah Abadi
ان کو کیا کام ہے مروت سے اپنی رخ سے یہ منہ نہ موڑیں گے ,جان شاید فرشتے چھوڑ بھی دیں ڈاکٹر فیس کو نہ چھوڑیں گے ,Akbar Allah Abadi
ڈنر سے تم کو فرصت کم یہاں فاقے سے کم خالی ,چلو بس ہو چکا ملنا نہ تم خالی نہ ہم خالی ,Akbar Allah Abadi
رحمان کے فرشتے گو ہیں بہت مقدس ,شیطان ہی کی جانب لیکن مجارٹی ہے ,Akbar Allah Abadi
کیا وہ خواہش کہ جسے دل بھی سمجھتا ہو حقیر ,آرزو وہ ہے جو سینہ میں رہے ناز کے ساتھ ,Akbar Allah Abadi
فلسفی کو بحث کے اندر خدا ملتا نہیں ,ڈور کو سلجھا رہا ہے اور سرا ملتا نہیں ,Akbar Allah Abadi
سدھاریں شیخ کعبہ کو ہم انگلستان دیکھیں گے ,وہ دیکھیں گھر خدا کا ہم خدا کی شان دیکھیں گے ,Akbar Allah Abadi
تشبیہ ترے چہرے کو کیا دوں گل تر سے ,ہوتا ہے شگفتہ مگر اتنا نہیں ہوتا ,Akbar Allah Abadi
ضروری چیز ہے اک تجربہ بھی زندگانی میں ,تجھے یہ ڈگریاں بوڑھوں کا ہم سن کر نہیں سکتیں ,Akbar Allah Abadi
یہ ہے کہ جھکاتا ہے مخالف کی بھی گردن ,سن لو کہ کوئی شے نہیں احسان سے بہتر ,Akbar Allah Abadi
مرعوب ہو گئے ہیں ولایت سے شیخ جی ,اب صرف منع کرتے ہیں دیسی شراب کو ,Akbar Allah Abadi
پوچھا اکبرؔ ہے آدمی کیسا ,ہنس کے بولے وہ آدمی ہی نہیں ,Akbar Allah Abadi
میری یہ بے چینیاں اور ان کا کہنا ناز سے ,ہنس کے تم سے بول تو لیتے ہیں اور ہم کیا کریں ,Akbar Allah Abadi
اثر یہ تیرے انفاس مسیحائی کا ہے اکبرؔ ,الہ آباد سے لنگڑا چلا لاہور تک پہنچا ,Akbar Allah Abadi
نوکروں پر جو گزرتی ہے مجھے معلوم ہے ,بس کرم کیجے مجھے بے کار رہنے دیجئے ,Akbar Allah Abadi
دعویٰ بہت بڑا ہے ریاضی میں آپ کو ,طول شب فراق کو تو ناپ دیجئے ,Akbar Allah Abadi
سمجھ میں صاف آ جائے فصاحت اس کو کہتے ہیں ,اثر ہو سننے والے پر بلاغت اس کو کہتے ہیں ,Akbar Allah Abadi
ان کو کیا کام ہے مروت سے اپنی سے یہ منہ نہ موڑیں گے ,جان شاید فرشتے چھوڑ بھی دیں ڈاکٹر فیس کو نہ چھوڑیں گے ,Akbar Allah Abadi
انہیں بھی جوش الفت ہو تو لطف اٹھے محبت کا ,ہمیں دن رات اگر تڑپے تو پھر اس میں مزا کیا ہے ,Akbar Allah Abadi
پڑ جائیں مرے جسم پہ لاکھ آبلہ اکبرؔ ,پڑھ کر جو کوئی پھونک دے اپریل مئی جون ,Akbar Allah Abadi
کالج سے آ رہی ہے صدا پاس پاس کی ,عہدوں سے آ رہی ہے صدا دور دور کی ,Akbar Allah Abadi
غمزہ نہیں ہوتا کہ اشارا نہیں ہوتا ,آنکھ ان سے جو ملتی ہے تو کیا کیا نہیں ہوتا ,Akbar Allah Abadi
بت کدہ میں شور ہے اکبرؔ مسلماں ہو گیا ,بے وفاؤں سے کوئی کہہ دے کہ ہاں ہاں ہو گیا ,Akbar Allah Abadi
اگر مذہب خلل انداز ہے ملکی مقاصد میں ,تو شیخ و برہمن پنہاں رہیں دیر و مساجد میں ,Akbar Allah Abadi
کس ناز سے کہتے ہیں وہ جھنجھلا کے شب وصل ,تم تو ہمیں کروٹ بھی بدلنے نہیں دیتے ,Akbar Allah Abadi
خوش نصیب آج بھلا کون ہے گوہر کے سوا ,سب کچھ اللہ نے دے رکھا ہے شوہر کے سوا ,Akbar Allah Abadi
ایک کافر پر طبیعت آ گئی ,پارسائی پر بھی آفت آ گئی ,Akbar Allah Abadi
موت آئی عشق میں تو ہمیں نیند آ گئی ,نکلی بدن سے جان تو کانٹا نکل گیا ,Akbar Allah Abadi
تحسین کے لائق ترا ہر شعر ہے اکبرؔ ,احباب کریں بزم میں اب واہ کہاں تک ,Akbar Allah Abadi
میں ہوں کیا چیز جو اس طرز پہ جاؤں اکبرؔ ,ناسخؔ و ذوقؔ بھی جب چل نہ سکے میرؔ کے ساتھ ,Akbar Allah Abadi
جوانی کی ہے آمد شرم سے جھک سکتی ہیں آنکھیں ,مگر سینے کا فتنہ رک نہیں سکتا ابھرنے سے ,Akbar Allah Abadi
دختر رز نے اٹھا رکھی ہے آفت سر پر ,خیریت گزری کہ انگور کے بیٹا نہ ہوا ,Akbar Allah Abadi
پبلک میں ذرا ہاتھ ملا لیجیے مجھ سے ,صاحب مرے ایمان کی قیمت ہے تو یہ ہے ,Akbar Allah Abadi
دم لبوں پر تھا دل زار کے گھبرانے سے ,آ گئی جان میں جان آپ کے آ جانے سے ,Akbar Allah Abadi
کچھ طرز ستم بھی ہے کچھ انداز وفا بھی ,کھلتا نہیں حال ان کی طبیعت کا ذرا بھی ,Akbar Allah Abadi
خلاف شرع کبھی شیخ تھوکتا بھی نہیں ,مگر اندھیرے اجالے میں چوکتا بھی نہیں ,Akbar Allah Abadi
شیخ کی دعوت میں مے کا کام کیا ,احتیاطاً کچھ منگا لی جائے گی ,Akbar Allah Abadi
ڈال دے جان معانی میں وہ اردو یہ ہے ,کروٹیں لینے لگے طبع وہ پہلو یہ ہے ,Akbar Allah Abadi
بتوں کے پہلے بندے تھے مسوں کے اب ہوئے خادم ,ہمیں ہر عہد میں مشکل رہا ہے با خدا ہونا ,Akbar Allah Abadi
تم ناک چڑھاتے ہو مری بات پہ اے شیخ ,کھینچوں گی کسی روز میں اب کان تمہارے ,Akbar Allah Abadi
مرا محتاج ہونا تو مری حالت سے ظاہر ہے ,مگر ہاں دیکھنا ہے آپ کا حاجت روا ہونا ,Akbar Allah Abadi
مسجد کا ہے خیال نہ پروائے چرچ ہے ,جو کچھ ہے اب تو کالج و ٹیچر میں خرچ ہے ,Akbar Allah Abadi
تمہارے وعظ میں تاثیر تو ہے حضرت واعظ ,اثر لیکن نگاہ ناز کا بھی کم نہیں ہوتا ,Akbar Allah Abadi
اس گلستاں میں بہت کلیاں مجھے تڑپا گئیں ,کیوں لگی تھیں شاخ میں کیوں بے کھلے مرجھا گئیں ,Akbar Allah Abadi
سب ہو چکے ہیں اس بت کافر ادا کے ساتھ ,رہ جائیں گے رسول ہی بس اب خدا کے ساتھ ,Akbar Allah Abadi
شیخ جی گھر سے نہ نکلے اور مجھ سے کہہ دیا ,آپ بی اے پاس ہیں اور بندہ بی بی پاس ہے ,Akbar Allah Abadi
کچھ نہیں کار فلک حادثہ پاشی کے سوا ,فلسفہ کچھ نہیں الفاظ تراشی کے سوا ,Akbar Allah Abadi
کیا ہی رہ رہ کے طبیعت مری گھبراتی ہے ,موت آتی ہے شب ہجر نہ نیند آتی ہے ,Akbar Allah Abadi
چشم جہاں سے حالت اصلی چھپی نہیں ,اخبار میں جو چاہئے وہ چھاپ دیجئے ,Akbar Allah Abadi
نظر ان کی رہی کالج کے بس علمی فوائد پر ,گرا کے چپکے چپکے بجلیاں دینی عقائد پر ,Akbar Allah Abadi
تری زلفوں میں دل الجھا ہوا ہے ,بلا کے پیچ میں آیا ہوا ہے ,Akbar Allah Abadi
بوٹ ڈاسن نے بنایا میں نے اک مضموں لکھا ,ملک میں مضموں نہ پھیلا اور جوتا چل گیا ,Akbar Allah Abadi
عزت کا ہے نہ اوج نہ نیکی کی موج ہے ,حملہ ہے اپنی قوم پہ لفظوں کی فوج ہے ,Akbar Allah Abadi
کیا پوچھتے ہو اکبرؔ شوریدہ سر کا حال ,خفیہ پولس سے پوچھ رہا ہے کمر کا حال ,Akbar Allah Abadi
مجھ کو تو دیکھ لینے سے مطلب ہے ناصحا ,بد خو اگر ہے یار تو ہو خوب رو تو ہے ,Akbar Allah Abadi
نگاہیں کاملوں پر پڑ ہی جاتی ہیں زمانے کی ,کہیں چھپتا ہے اکبرؔ پھول پتوں میں نہاں ہو کر ,Akbar Allah Abadi
کعبے سے جو بت نکلے بھی تو کیا کعبہ ہی گیا جو دل سے نکل ,افسوس کہ بت بھی ہم سے چھٹے قبضے سے خدا کا گھر بھی گیا ,Akbar Allah Abadi
کمر یار ہے باریکی ث غائب ہر چند ,مگر اتنا تو کہوں گا کہ وہ معدوم نہیں ,Akbar Allah Abadi
واہ کیا راہ دکھائی ہے ہمیں مرشد نے ,کر دیا کعبے کو گم اور کلیسا نہ ملا ,Akbar Allah Abadi
رہ و رسم محبت ان حسینوں سے میں کیا رکھوں ,جہاں تک دیکھتا ہوں نفع ان کا ہے ضرر اپنا ,Akbar Allah Abadi
پردے کا مخالف جو سنا بول اٹھیں بیگم ,اللہ کی مار اس پہ علی گڑھ کے حوالے ,Akbar Allah Abadi
جلوہ نہ ہو معنی کا تو صورت کا اثر کیا ,بلبل گل تصویر کا شیدا نہیں ہوتا ,Akbar Allah Abadi
ہر چند بگولہ مضطر ہے اک جوش تو اس کے اندر ہے ,اک وجد تو ہے اک رقص تو ہے بے چین سہی برباد سہی ,Akbar Allah Abadi
غم خانۂ جہاں میں وقعت ہی کیا ہماری ,اک ناشنیدہ اف ہیں اک آہ بے اثر ہیں ,Akbar Allah Abadi
دلا دے ہم کو بھی صاحب سے لوئلٹی کا پروانہ ,قیامت تک رہے سید ترے آنر کا افسانہ ,Akbar Allah Abadi
جو زمیں کوچۂ قاتل میں نکلتی ہے نئی ,وقف وہ بہر مزار شہدا ہوتی ہے ,Akbar Allah Abadi
شیخ صاحب خدا سے ڈرتے ہوں ,میں تو انگریزوں ہی سے ڈرتا ہوں ,Akbar Allah Abadi
عروج قومی زوال قومی خدا کی قدرت کے ہیں کرشمے ,ہمیشہ رد و بدل کے اندر یہ امر پولٹیکل رہا ہے ,Akbar Allah Abadi
مولوی صاحب نہ چھوڑیں گے خدا گو بخش دے ,گھیر ہی لیں گے پولس والے سزا ہو یا نہ ہو ,Akbar Allah Abadi
مزہ ہے اسپیچ کا ڈنر میں خبر یہ چھپتی ہے پانیر میں ,فلک کی گردش کے ساتھ ہی ساتھ کام یاروں کا چل رہا ہے ,Akbar Allah Abadi
فقیروں کے گھروں میں لطف کی راتیں بھی آتی ہیں ,زیارت کے لیے اکثر مسماتیں بھی آتی ہیں ,Akbar Allah Abadi
کھو گئی ہند کی فردوس نشانی اکبرؔ ,کاش ہو جائے کوئی ملٹنؔ ثانی پیدا ,Akbar Allah Abadi
کچھ صنعت و حرفت پہ بھی لازم ہے توجہ ,آخر یہ گورنمنٹ سے تنخواہ کہاں تک ,Akbar Allah Abadi
ممبری سے آپ پر تو وارنش ہو جائے گی ,قوم کی حالت میں کچھ اس سے جلا ہو یا نہ ہو ,Akbar Allah Abadi
وہ تو موسیٰ ہوا جو طالب دیدار ہوا ,پھر وہ کیا ہوگا کہ جس نے تمہیں دیکھا ہوگا ,Akbar Allah Abadi
کیوں سول سرجن کا آنا روکتا ہے ہم نشیں ,اس میں ہے اک بات آنر کی شفا ہو یا نہ ہو ,Akbar Allah Abadi
